epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3287.93,0.68069,1.44341,1.04552,0.90825,0.9267,0.96305,0.84888,0.52275,0.69898,0.89415,0.000175242,0.000175242,0.000175242
2,6568.99,0.60978,0.54116,0.99693,0.91073,0.98512,0.93686,0.82348,0.51779,0.34512,0.88659,0.000333222,0.000333222,0.000333222
3,10319.1,0.59565,0.40863,0.98845,0.95558,0.99807,0.96181,0.85689,0.47298,0.26356,0.87945,0.000473844,0.000473844,0.000473844
4,14160.4,0.57283,0.36575,0.97836,0.97054,0.99541,0.99495,0.90757,0.44703,0.23735,0.86039,0.000447889,0.000447889,0.000447889
5,17999,0.54995,0.33441,0.96923,0.988,0.99718,0.99497,0.9175,0.41842,0.21501,0.84808,0.000421852,0.000421852,0.000421852
6,21835.4,0.53088,0.31471,0.96041,0.99122,0.99947,0.995,0.92302,0.40966,0.20483,0.84225,0.000395815,0.000395815,0.000395815
7,25669.4,0.52027,0.30231,0.95694,0.99167,0.99907,0.995,0.91423,0.40437,0.19238,0.84178,0.000369778,0.000369778,0.000369778
8,29500.8,0.50848,0.28965,0.95105,0.9632,0.99873,0.995,0.92807,0.39924,0.18998,0.83703,0.000343741,0.000343741,0.000343741
9,33330,0.49734,0.28145,0.94513,0.99142,1,0.995,0.92113,0.39667,0.18011,0.83724,0.000317704,0.000317704,0.000317704
10,37158,0.48629,0.2724,0.94146,0.99467,0.99964,0.995,0.93232,0.38743,0.17588,0.83651,0.000291667,0.000291667,0.000291667
11,40934.2,0.43843,0.21174,0.9201,0.99368,0.99916,0.995,0.93395,0.39343,0.17891,0.8342,0.00026563,0.00026563,0.00026563
12,44709,0.41772,0.19728,0.90664,0.99549,0.9989,0.995,0.9376,0.38174,0.16941,0.8315,0.000239593,0.000239593,0.000239593
13,48486,0.40529,0.18722,0.89989,0.99037,0.99653,0.995,0.9364,0.3788,0.16689,0.83019,0.000213556,0.000213556,0.000213556
14,52263.5,0.39378,0.17969,0.89379,0.99494,0.99907,0.995,0.94091,0.37405,0.161,0.82799,0.000187519,0.000187519,0.000187519
15,56035.1,0.38141,0.17318,0.88729,0.99291,0.99916,0.995,0.94118,0.36471,0.15545,0.82605,0.000161482,0.000161482,0.000161482
16,59806.1,0.37176,0.16798,0.87956,0.98962,0.99878,0.995,0.94422,0.36268,0.15523,0.82517,0.000135445,0.000135445,0.000135445
17,63578.6,0.36136,0.16116,0.87618,0.98726,0.99763,0.995,0.94372,0.35786,0.15031,0.82351,0.000109408,0.000109408,0.000109408
18,67345.2,0.35298,0.15533,0.87178,0.99303,0.99839,0.995,0.94194,0.35395,0.14771,0.82282,8.3371e-05,8.3371e-05,8.3371e-05
19,71105.8,0.34372,0.14988,0.86697,0.99276,0.99847,0.995,0.94448,0.35422,0.14654,0.82272,5.7334e-05,5.7334e-05,5.7334e-05
20,74846.6,0.33644,0.14528,0.86464,0.99755,0.99969,0.995,0.94308,0.35381,0.14437,0.82311,3.1297e-05,3.1297e-05,3.1297e-05
